citing_paper,author_id
" On Bayesian Methods for Black-Box Optimization: Efficiency, Adaptation and Reliability",eMW64akAAAAJ
 The prediction of the resistant starch production using transformer-based deep learning models,--C19VcAAAAJ
 The prediction of the resistant starch production using transformer-based deep learning models,55ifc-kAAAAJ
 The prediction of the resistant starch production using transformer-based deep learning models,9tDXEbMAAAAJ
 Verwendungsnachweis DaREXA-F Teil II,8K6QF4MAAAAJ
 Verwendungsnachweis DaREXA-F Teil II,dngoAJ8AAAAJ
" What to Support when You're Compressing: The State of Practice, Gaps, and Opportunities for Scientific Data Compression",heoDjhAAAAAJ
 面向飞腾处理器平台的快速卷积算法优化,No_author_found
A Federated Learning-based Aflatoxin M1 Prediction Model Under a Data Enhancement Strategy,3NffkcYAAAAJ
A Federated Learning-based Aflatoxin M1 Prediction Model Under a Data Enhancement Strategy,cPIs_VIAAAAJ
A Memory-Efficient and Computation-Balanced Lossy Compressor on Wafer-Scale Engine,GbhfWUIAAAAJ
A Memory-Efficient and Computation-Balanced Lossy Compressor on Wafer-Scale Engine,eeiMAa8AAAAJ
A Memory-Efficient and Computation-Balanced Lossy Compressor on Wafer-Scale Engine,r8qwkW8AAAAJ
A Memory-Efficient and Computation-Balanced Lossy Compressor on Wafer-Scale Engine,zh3foWUAAAAJ
A Perpetual Compression Scheme for Delay Tolerant Communication,GXSdAk0AAAAJ
A Perpetual Compression Scheme for Delay Tolerant Communication,zFffwaAAAAAJ
A greedy consensus-based approach to distributed job selection: toward fully-decentralized workload management system,AQUdlTMAAAAJ
A greedy consensus-based approach to distributed job selection: toward fully-decentralized workload management system,lwdMUeQAAAAJ
A greedy consensus-based approach to distributed job selection: toward fully-decentralized workload management system,yosNnw0AAAAJ
A hybrid PCA-PR-Seq2Seq-Adam-LSTM framework for time-series power outage prediction,f9abrtgAAAAJ
A hybrid PCA-PR-Seq2Seq-Adam-LSTM framework for time-series power outage prediction,leS0sXoAAAAJ
A survey on error-bounded lossy compression for scientific datasets,7X0j6LYAAAAJ
A survey on error-bounded lossy compression for scientific datasets,GbhfWUIAAAAJ
A survey on error-bounded lossy compression for scientific datasets,QRj1QroAAAAJ
A survey on error-bounded lossy compression for scientific datasets,etsusEoAAAAJ
A survey on error-bounded lossy compression for scientific datasets,zh3foWUAAAAJ
AI-optimized GRU-based self-attention model for predictive diabetes staging in IoT healthcare 5.0,uc6D4vAAAAAJ
Adaptive soft error protection for neural network processing,LVWU_VQAAAAJ
ApproxABFT: Approximate Algorithm-Based Fault Tolerance for Neural Network Processing,LVWU_VQAAAAJ
ApproxABFT: Approximate Algorithm-Based Fault Tolerance for Neural Network Processing,d4KZI8MAAAAJ
ApproxABFT: Approximate Algorithm-Based Fault Tolerance for Neural Network Processing,t40cM-4AAAAJ
Architectural-Aware Performance Optimization: From the Foundational Math Library to Cutting-Edge Applications,Op1bp3UAAAAJ
AttnBoost: Retail Supply Chain Sales Insights via Gradient Boosting Perspective,0FmKJhMAAAAJ
AttnBoost: Retail Supply Chain Sales Insights via Gradient Boosting Perspective,IZcq-KIAAAAJ
AttnBoost: Retail Supply Chain Sales Insights via Gradient Boosting Perspective,cGrjMFAAAAAJ
Attn‐BiGRU: Angular‐aware attention with curriculum learning for adaptive beamforming,JS1b3bsAAAAJ
Attn‐BiGRU: Angular‐aware attention with curriculum learning for adaptive beamforming,SHeBCGUAAAAJ
Attn‐BiGRU: Angular‐aware attention with curriculum learning for adaptive beamforming,TfzUhwMAAAAJ
Automatic Parameter Tuning for CUTLASS Matrix Multiplication Based on Multi-Task Learning with DSSM,rGmz1wMAAAAJ
BMQSim: Overcoming Memory Constraints in Quantum Circuit Simulation with a High-Fidelity Compression Framework,50k_hl8AAAAJ
BMQSim: Overcoming Memory Constraints in Quantum Circuit Simulation with a High-Fidelity Compression Framework,87u1ugYAAAAJ
BMQSim: Overcoming Memory Constraints in Quantum Circuit Simulation with a High-Fidelity Compression Framework,BoVnm1wAAAAJ
BMQSim: Overcoming Memory Constraints in Quantum Circuit Simulation with a High-Fidelity Compression Framework,GKlJrYYAAAAJ
BMQSim: Overcoming Memory Constraints in Quantum Circuit Simulation with a High-Fidelity Compression Framework,Pn8sRZ0AAAAJ
Beating vDSP: A 138 GFLOPS radix-8 Stockham FFT on Apple Silicon via two-tier register-threadgroup memory decomposition,JbpWxZYAAAAJ
Benchmarking Cutting-Edge Scientific Error-Bounded Lossy Compressors on Correlation-Based Rate-Distortion,-LmdfGcAAAAJ
Benchmarking Cutting-Edge Scientific Error-Bounded Lossy Compressors on Correlation-Based Rate-Distortion,7X0j6LYAAAAJ
Benchmarking Cutting-Edge Scientific Error-Bounded Lossy Compressors on Correlation-Based Rate-Distortion,GbhfWUIAAAAJ
Benchmarking Cutting-Edge Scientific Error-Bounded Lossy Compressors on Correlation-Based Rate-Distortion,etsusEoAAAAJ
Benchmarking Cutting-Edge Scientific Error-Bounded Lossy Compressors on Correlation-Based Rate-Distortion,zh3foWUAAAAJ
Boosting scientific error-bounded lossy compression through optimized synergistic lossy-lossless orchestration,-LmdfGcAAAAJ
Boosting scientific error-bounded lossy compression through optimized synergistic lossy-lossless orchestration,7X0j6LYAAAAJ
Boosting scientific error-bounded lossy compression through optimized synergistic lossy-lossless orchestration,MFWUo10AAAAJ
Boosting scientific error-bounded lossy compression through optimized synergistic lossy-lossless orchestration,Si2zZaIAAAAJ
Boosting scientific error-bounded lossy compression through optimized synergistic lossy-lossless orchestration,aZblD2cAAAAJ
Boosting scientific error-bounded lossy compression through optimized synergistic lossy-lossless orchestration,lv5EK6AAAAAJ
CCL-D: A High-Precision Diagnostic System for Slow and Hang Anomalies in Large-Scale Model Training,bERytNsAAAAJ
CCL-D: A High-Precision Diagnostic System for Slow and Hang Anomalies in Large-Scale Model Training,tVI-FVAAAAAJ
COCCL: A Collective Communication Library Supporting Easy Integration and Configuration of Customized Compression for Scalable LLM Training,bERytNsAAAAJ
COCCL: A Collective Communication Library Supporting Easy Integration and Configuration of Customized Compression for Scalable LLM Training,sn6xv3IAAAAJ
CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation,7X0j6LYAAAAJ
CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation,GKlJrYYAAAAJ
CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation,MFWUo10AAAAJ
CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation,Si2zZaIAAAAJ
CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation,zh3foWUAAAAJ
Checkpointing fine-tuning for accelerating seismic applications in GPUs,7vt1JPgAAAAJ
Checkpointing fine-tuning for accelerating seismic applications in GPUs,EXoO63AAAAAJ
Classical simulation of quantum circuits: Parallel environments and benchmark,7nLfsSgAAAAJ
Classical simulation of quantum circuits: Parallel environments and benchmark,C83b8ncAAAAJ
Data reuse and locality optimization method based on GEMM,No_author_found
Decentralized learning based on gradient coding with compressed communication,WGnxKV8AAAAJ
Decentralized learning based on gradient coding with compressed communication,elsum5sAAAAJ
DeepCQ: General-Purpose Deep-Surrogate Framework for Lossy Compression Quality Prediction,GbhfWUIAAAAJ
DeepCQ: General-Purpose Deep-Surrogate Framework for Lossy Compression Quality Prediction,ROxp-uQAAAAJ
DeepCQ: General-Purpose Deep-Surrogate Framework for Lossy Compression Quality Prediction,otnPh2IAAAAJ
DeepCQ: General-Purpose Deep-Surrogate Framework for Lossy Compression Quality Prediction,wGF_4JsAAAAJ
Delta-Attention-Based Deep Learning Model for Diabetes Prediction in Consumer Health Monitoring Systems,ZcFN7iUAAAAJ
Design and Implementation of High Reliability Heterogeneous Software Architecture Based on SoC Chip,No_author_found
Dgro: diameter-guided ring optimization for integrated research infrastructure membership,AQUdlTMAAAAJ
Dgro: diameter-guided ring optimization for integrated research infrastructure membership,AvanGFkAAAAJ
Dgro: diameter-guided ring optimization for integrated research infrastructure membership,MFWUo10AAAAJ
Dgro: diameter-guided ring optimization for integrated research infrastructure membership,zh3foWUAAAAJ
EXaCTz: Guaranteed Extremum Graph and Contour Tree Preservation for Distributed-and GPU-Parallel Lossy Compression,-JKuWIYAAAAJ
EXaCTz: Guaranteed Extremum Graph and Contour Tree Preservation for Distributed-and GPU-Parallel Lossy Compression,QRj1QroAAAAJ
EXaCTz: Guaranteed Extremum Graph and Contour Tree Preservation for Distributed-and GPU-Parallel Lossy Compression,Tt0eBesAAAAJ
EXaCTz: Guaranteed Extremum Graph and Contour Tree Preservation for Distributed-and GPU-Parallel Lossy Compression,_lXYqZUAAAAJ
EXaCTz: Guaranteed Extremum Graph and Contour Tree Preservation for Distributed-and GPU-Parallel Lossy Compression,pLf2rx0AAAAJ
Early Prediction of Pathologic Complete Response to Neoadjuvant Chemotherapy in Breast Cancer Based on Multimodal Ultrasound and Pathological Image,No_author_found
Enabling Homomorphic Analytical Operations on Compressed Scientific Data with Multi-stage Decompression,QRj1QroAAAAJ
Enabling Homomorphic Analytical Operations on Compressed Scientific Data with Multi-stage Decompression,SL-9eBwAAAAJ
Enabling Homomorphic Analytical Operations on Compressed Scientific Data with Multi-stage Decompression,etsusEoAAAAJ
Enabling Homomorphic Analytical Operations on Compressed Scientific Data with Multi-stage Decompression,zh3foWUAAAAJ
Enabling the Use of Approximate Memories in Quantized Large Language Models (LLMs): Dealing with Errors on the Scaling Factors,Uq9ULaMAAAAJ
Enabling the Use of Approximate Memories in Quantized Large Language Models (LLMs): Dealing with Errors on the Scaling Factors,cdNtrBkAAAAJ
Enabling the Use of Approximate Memories in Quantized Large Language Models (LLMs): Dealing with Errors on the Scaling Factors,xUFpv8kAAAAJ
Error bounded compression for weather and climate applications,ROKeao4AAAAJ
Error bounded compression for weather and climate applications,x0Qs4q8AAAAJ
Error resilient transformers: A novel soft error vulnerability guided approach to error checking and suppression,0tnrXKUAAAAJ
Error resilient transformers: A novel soft error vulnerability guided approach to error checking and suppression,eNUtf9UAAAAJ
Error resilient transformers: A novel soft error vulnerability guided approach to error checking and suppression,fJQZ1ToAAAAJ
Error-controlled progressive retrieval of scientific data under derivable quantities of interest,8kSmgzYAAAAJ
Error-controlled progressive retrieval of scientific data under derivable quantities of interest,DpMeYCYAAAAJ
Error-controlled progressive retrieval of scientific data under derivable quantities of interest,fw4Hx2QAAAAJ
Error-controlled progressive retrieval of scientific data under derivable quantities of interest,sWUc3y4AAAAJ
Extreme Error-bounded Compression of Scientific Data via Temporal Graph Autoencoders,fxBHpbgAAAAJ
Extreme Error-bounded Compression of Scientific Data via Temporal Graph Autoencoders,xr_cyAgAAAAJ
FLARE: A Dataflow-Aware and Scalable Hardware Architecture for Neural-Hybrid Scientific Lossy Compression,3bXf6H0AAAAJ
FLARE: A Dataflow-Aware and Scalable Hardware Architecture for Neural-Hybrid Scientific Lossy Compression,Si2zZaIAAAAJ
FLARE: A Dataflow-Aware and Scalable Hardware Architecture for Neural-Hybrid Scientific Lossy Compression,heoDjhAAAAAJ
FLARE: A Dataflow-Aware and Scalable Hardware Architecture for Neural-Hybrid Scientific Lossy Compression,lMQ863AAAAAJ
FORS: fault-adaptive optimized routing and scheduling for DAQ networks,DNsw38sAAAAJ
FSFDLLM: Financial Statement Fraud Detection Aided by Large Language Models,No_author_found
FT-Transformer: Resilient and reliable transformer with end-to-end fault tolerant attention,8PGjapgAAAAJ
FT-Transformer: Resilient and reliable transformer with end-to-end fault tolerant attention,MFWUo10AAAAJ
FT-Transformer: Resilient and reliable transformer with end-to-end fault tolerant attention,ZBWTUE_J-AYC
FT-Transformer: Resilient and reliable transformer with end-to-end fault tolerant attention,lv5EK6AAAAAJ
FT-Transformer: Resilient and reliable transformer with end-to-end fault tolerant attention,v1uvywcAAAAJ
FZModules: A Heterogeneous Computing Framework for Customizable Scientific Data Compression Pipelines,BoVnm1wAAAAJ
FZModules: A Heterogeneous Computing Framework for Customizable Scientific Data Compression Pipelines,Si2zZaIAAAAJ
FZModules: A Heterogeneous Computing Framework for Customizable Scientific Data Compression Pipelines,U1EQDU4AAAAJ
From 8 seconds to 370ms: Kernel-fused SAR imaging on Apple Silicon via single-dispatch FFT pipelines,JbpWxZYAAAAJ
Ft k-means: A high-performance k-means on gpu with fault tolerance,2PN6QHgAAAAJ
Ft k-means: A high-performance k-means on gpu with fault tolerance,7X0j6LYAAAAJ
Ft k-means: A high-performance k-means on gpu with fault tolerance,MFWUo10AAAAJ
Ft k-means: A high-performance k-means on gpu with fault tolerance,Op1bp3UAAAAJ
Ft k-means: A high-performance k-means on gpu with fault tolerance,lv5EK6AAAAAJ
Ft-blas: A fault tolerant high performance blas implementation on x86 cpus,7X0j6LYAAAAJ
Ft-blas: A fault tolerant high performance blas implementation on x86 cpus,Op1bp3UAAAAJ
Ft-blas: A fault tolerant high performance blas implementation on x86 cpus,etsusEoAAAAJ
Ft-blas: A fault tolerant high performance blas implementation on x86 cpus,lv5EK6AAAAAJ
Ft-gemm: A fault tolerant high performance gemm implementation on x86 cpus,8PGjapgAAAAJ
Ft-gemm: A fault tolerant high performance gemm implementation on x86 cpus,AvanGFkAAAAJ
Ft-gemm: A fault tolerant high performance gemm implementation on x86 cpus,MFWUo10AAAAJ
Ft-gemm: A fault tolerant high performance gemm implementation on x86 cpus,Op1bp3UAAAAJ
Ft-gemm: A fault tolerant high performance gemm implementation on x86 cpus,lv5EK6AAAAAJ
GPU Lossy Compression for HPC Can Be Versatile and Ultra-Fast,hIoeKKkAAAAJ
GPU Lossy Compression for HPC Can Be Versatile and Ultra-Fast,r8qwkW8AAAAJ
GPU Lossy Compression for HPC Can Be Versatile and Ultra-Fast,z5u02kIAAAAJ
GPU Lossy Compression for HPC Can Be Versatile and Ultra-Fast,zh3foWUAAAAJ
Graphcomp: Extreme error-bounded compression of scientific data via temporal graph autoencoders,Ez_xk3sAAAAJ
Graphcomp: Extreme error-bounded compression of scientific data via temporal graph autoencoders,fxBHpbgAAAAJ
Graphcomp: Extreme error-bounded compression of scientific data via temporal graph autoencoders,xr_cyAgAAAAJ
Gwlz: A group-wise learning-based lossy compression framework for scientific data,3bXf6H0AAAAJ
Gwlz: A group-wise learning-based lossy compression framework for scientific data,ILDdu98AAAAJ
Gwlz: A group-wise learning-based lossy compression framework for scientific data,Ppjzn_EAAAAJ
Gwlz: A group-wise learning-based lossy compression framework for scientific data,heoDjhAAAAAJ
Gwlz: A group-wise learning-based lossy compression framework for scientific data,otnPh2IAAAAJ
Gwlz: A group-wise learning-based lossy compression framework for scientific data,w1RoaOMAAAAJ
HALO: Hybrid Systolic Arrays via Logical Partitioning for Acceleration of Complex-Valued Neural Networks,NF62g_kAAAAJ
HALO: Hybrid Systolic Arrays via Logical Partitioning for Acceleration of Complex-Valued Neural Networks,Z-_mLYcAAAAJ
HALO: Hybrid Systolic Arrays via Logical Partitioning for Acceleration of Complex-Valued Neural Networks,glSij2QAAAAJ
High speed simulation methods for multimode optical devices,l1XtRewAAAAJ
IPComp: Interpolation Based Progressive Lossy Compression for Scientific Applications,5vUugKEAAAAJ
IPComp: Interpolation Based Progressive Lossy Compression for Scientific Applications,J_1JzrQAAAAJ
IPComp: Interpolation Based Progressive Lossy Compression for Scientific Applications,lv5EK6AAAAAJ
IPComp: Interpolation Based Progressive Lossy Compression for Scientific Applications,zh3foWUAAAAJ
Impact of MAC Unit Design Architectures and Their Applications in Modern Computing: An In-Depth Review,fg23kkAAAAAJ
Impact of MAC Unit Design Architectures and Their Applications in Modern Computing: An In-Depth Review,rGV0VDUAAAAJ
ImplicitTerrainV2: Wavelet-Guided Spatially Adaptive Neural Terrain Representation,5tHf4aIAAAAJ
ImplicitTerrainV2: Wavelet-Guided Spatially Adaptive Neural Terrain Representation,yubxZUUAAAAJ
Improving the Efficiency of Interpolation-based Scientific Data Compressors with Adaptive Quantization Index Prediction,6blhwnoAAAAJ
Improving the Efficiency of Interpolation-based Scientific Data Compressors with Adaptive Quantization Index Prediction,7X0j6LYAAAAJ
Improving the Efficiency of Interpolation-based Scientific Data Compressors with Adaptive Quantization Index Prediction,QRj1QroAAAAJ
Improving the Efficiency of Interpolation-based Scientific Data Compressors with Adaptive Quantization Index Prediction,_lXYqZUAAAAJ
Improving the Efficiency of Interpolation-based Scientific Data Compressors with Adaptive Quantization Index Prediction,fw4Hx2QAAAAJ
Improving the Efficiency of Interpolation-based Scientific Data Compressors with Adaptive Quantization Index Prediction,zh3foWUAAAAJ
K-spin ising model for combinatorial optimizations over graphs: A reinforcement learning approach,7NhA-04AAAAJ
LLM Agents for Interactive Workflow Provenance: Reference Architecture and Evaluation Methodology,7VLhPOAAAAAJ
LLM Agents for Interactive Workflow Provenance: Reference Architecture and Evaluation Methodology,XizAW_wAAAAJ
LLM Agents for Interactive Workflow Provenance: Reference Architecture and Evaluation Methodology,x9t36ewAAAAJ
LLM-IARE: An Input-Aware Resilience Estimation Methodology for LLMs under Hardware Transient Faults,No_author_found
LLMComp: A Language Modeling Paradigm for Error-Bounded Scientific Data Compression,-NdSrrYAAAAJ
LLMComp: A Language Modeling Paradigm for Error-Bounded Scientific Data Compression,fxBHpbgAAAAJ
LLMComp: A Language Modeling Paradigm for Error-Bounded Scientific Data Compression (Technical Report),-NdSrrYAAAAJ
LLMComp: A Language Modeling Paradigm for Error-Bounded Scientific Data Compression (Technical Report),fxBHpbgAAAAJ
LLMComp: A Language Modeling Paradigm for Error-Bounded Scientific Data Compression (Technical Report),xr_cyAgAAAAJ
Lightweight AI-Enhanced Intrusion Detection System for Zero-Day Threat Detection in Consumer Electronics Devices,04AlOGoAAAAJ
Lightweight Algorithm-Based Fault Tolerance (ABFT) for Resilient Machine Learning Systems,LVWU_VQAAAAJ
Lightweight CNN-Based Artifact Reduction for Scientific Error-bounded Lossy Compression,6blhwnoAAAAJ
Lightweight CNN-Based Artifact Reduction for Scientific Error-bounded Lossy Compression,8PGjapgAAAAJ
Lightweight CNN-Based Artifact Reduction for Scientific Error-bounded Lossy Compression,QRj1QroAAAAJ
Lightweight CNN-Based Artifact Reduction for Scientific Error-bounded Lossy Compression,hIoeKKkAAAAJ
Lightweight CNN-Based Artifact Reduction for Scientific Error-bounded Lossy Compression,zh3foWUAAAAJ
Long-Term Prediction of Yarn Quality Characteristics Based on Neural Networks and Transfer Learning,No_author_found
Lossy Compression of Scientific Data: Applications Constrains and Requirements,0-AkVWwAAAAJ
Lossy Compression of Scientific Data: Applications Constrains and Requirements,wdM8xCYAAAAJ
Lossy Compression of Scientific Data: Applications Constrains and Requirements,z5u02kIAAAAJ
Lundisim: Model Meshes for Flow Simulation and Scientific Data Compression Benchmarks,_C4Oz1QAAAAJ
Lundisim: Model Meshes for Flow Simulation and Scientific Data Compression Benchmarks,ixkiakMAAAAJ
MGPU-FI: A Fault Injection Framework for Reliability Analysis of Multi-GPU System,No_author_found
MambaWDC: Efficient Weather Data Compression via Selective State Space Model,No_author_found
MemSens: Significantly Reducing Memory Overhead in Adjoint Sensitivity Analysis Using Novel Error-Bounded Lossy Compression,Ppjzn_EAAAAJ
MemSens: Significantly Reducing Memory Overhead in Adjoint Sensitivity Analysis Using Novel Error-Bounded Lossy Compression,XHc6D58AAAAJ
Meteora: Multiple-tasks embedded lora for large language models,15maGTwAAAAJ
Meteora: Multiple-tasks embedded lora for large language models,EcRmcKUAAAAJ
Meteora: Multiple-tasks embedded lora for large language models,whzKjcIAAAAJ
Minimized Mainlobe Width Beamforming Based on Sparse Optimization,No_author_found
Multi-fidelity Bayesian optimization with across-task transferable max-value entropy search,0Ap-yfYAAAAJ
Multi-fidelity Bayesian optimization with across-task transferable max-value entropy search,eMW64akAAAAJ
Multi-fidelity Bayesian optimization with across-task transferable max-value entropy search,m1xeKH4AAAAJ
NeurLZ: An Online Neural Learning-Based Method to Enhance Scientific Lossy Compression,3bXf6H0AAAAJ
NeurLZ: An Online Neural Learning-Based Method to Enhance Scientific Lossy Compression,7X0j6LYAAAAJ
NeurLZ: An Online Neural Learning-Based Method to Enhance Scientific Lossy Compression,GKlJrYYAAAAJ
NeurLZ: An Online Neural Learning-Based Method to Enhance Scientific Lossy Compression,otnPh2IAAAAJ
NeurLZ: An Online Neural Learning-Based Method to Enhance Scientific Lossy Compression,wJ8qrbwAAAAJ
Not All Errors Are Equal: A Systematic Study of Error Propagation in Large Language Model Inference,hIoeKKkAAAAJ
Not All Errors Are Equal: A Systematic Study of Error Propagation in Large Language Model Inference,r8qwkW8AAAAJ
Not All Errors Are Equal: A Systematic Study of Error Propagation in Large Language Model Inference,zh3foWUAAAAJ
Optimization and Learning Algorithms for Classical and Quantum Signal Processing,No_author_found
PRISM: An Efficient GPU-Based Lossy Compression Framework for Progressive Data Retrieval with Multi-Level Interpolation,-taQO8YAAAAJ
PRISM: An Efficient GPU-Based Lossy Compression Framework for Progressive Data Retrieval with Multi-Level Interpolation,BIJDH6oAAAAJ
PRISM: An Efficient GPU-Based Lossy Compression Framework for Progressive Data Retrieval with Multi-Level Interpolation,bERytNsAAAAJ
Parallelized 0/1 Knapsack Algorithm Optimization in CPU-GPU-Based Heterogeneous System with Algorithm-based Fault Tolerance,4n0yBkMAAAAJ
Parallelized 0/1 Knapsack Algorithm Optimization in CPU-GPU-Based Heterogeneous System with Algorithm-based Fault Tolerance,MSpnQPQAAAAJ
Parallelized 0/1 Knapsack Algorithm Optimization in CPU-GPU-Based Heterogeneous System with Algorithm-based Fault Tolerance,bwi2ZAcAAAAJ
Prediction model for compressive strength of high-performance concrete based on feature Tokenizer transformer and integrated optimization mechanisms,LGhHRNgAAAAJ
Pushing the limits of GPU lossy compression: A hierarchical delta approach,BoVnm1wAAAAJ
Pushing the limits of GPU lossy compression: A hierarchical delta approach,GKlJrYYAAAAJ
Pushing the limits of GPU lossy compression: A hierarchical delta approach,hIoeKKkAAAAJ
Pushing the limits of GPU lossy compression: A hierarchical delta approach,r8qwkW8AAAAJ
Pushing the limits of GPU lossy compression: A hierarchical delta approach,zh3foWUAAAAJ
QPET: A Versatile and Portable Quantity-of-Interest-Preservation Framework for Error-Bounded Lossy Compression,6blhwnoAAAAJ
QPET: A Versatile and Portable Quantity-of-Interest-Preservation Framework for Error-Bounded Lossy Compression,7X0j6LYAAAAJ
QPET: A Versatile and Portable Quantity-of-Interest-Preservation Framework for Error-Bounded Lossy Compression,QRj1QroAAAAJ
QPET: A Versatile and Portable Quantity-of-Interest-Preservation Framework for Error-Bounded Lossy Compression,etsusEoAAAAJ
QPET: A Versatile and Portable Quantity-of-Interest-Preservation Framework for Error-Bounded Lossy Compression,zh3foWUAAAAJ
RNN beamforming optimizer for rate-splitting multiple access and cell-free massive MIMO,No_author_found
RetryTrigger: intelligent inference duplication for enhancing LLM resilience to hardware transient faults,No_author_found
RetryTrigger: 面向硬件瞬态故障的大语言模型智能推理重试容错方法,No_author_found
SCORPIO: A Parallel I/O library for Exascale Earth System Models,I4n4xgEAAAAJ
SCORPIO: A Parallel I/O library for Exascale Earth System Models,vRmOpisAAAAJ
SEVI: Silent Data Corruption of Vector Instructions in Hyper-Scale Datacenters,FwBOJNgAAAAJ
SEVI: Silent Data Corruption of Vector Instructions in Hyper-Scale Datacenters,LWVqxRUAAAAJ
SEVI: Silent Data Corruption of Vector Instructions in Hyper-Scale Datacenters,X3O-iy8AAAAJ
SEVI: Silent Data Corruption of Vector Instructions in Hyper-Scale Datacenters,rTUtEHYAAAAJ
SSFFT: Energy-Efficient Selective Scaling for Fast Fourier Transform in Embedded GPUs,4KH6ny4AAAAJ
SSFFT: Energy-Efficient Selective Scaling for Fast Fourier Transform in Embedded GPUs,XDjM4QcAAAAJ
SSFFT: Energy-Efficient Selective Scaling for Fast Fourier Transform in Embedded GPUs,mjxNeSAAAAAJ
STZ: A High Quality and High Speed Streaming Lossy Compression Framework for Scientific Data,-BjsjJUAAAAJ
STZ: A High Quality and High Speed Streaming Lossy Compression Framework for Scientific Data,FIUX55EAAAAJ
STZ: A High Quality and High Speed Streaming Lossy Compression Framework for Scientific Data,Si2zZaIAAAAJ
STZ: A High Quality and High Speed Streaming Lossy Compression Framework for Scientific Data,moDz23sAAAAJ
SWARM+: Scalable and Resilient Multi-Agent Consensus for Fully-Decentralized Data-Aware Workload Management,AQUdlTMAAAAJ
SWARM+: Scalable and Resilient Multi-Agent Consensus for Fully-Decentralized Data-Aware Workload Management,lwdMUeQAAAAJ
SWARM+: Scalable and Resilient Multi-Agent Consensus for Fully-Decentralized Data-Aware Workload Management,yosNnw0AAAAJ
SWARM: Reimagining scientific workflow management systems in a distributed world,AQUdlTMAAAAJ
SWARM: Reimagining scientific workflow management systems in a distributed world,ZycQHdgAAAAJ
"Scalable Frameworks for Evolving Graph Analytics: Acceleration, Indexing, and Sampling Through Temporal Reuse",ZJj4NzYAAAAJ
Semi-Amortized Encoder-Decoder Network for Beamforming Over Sparse Large-Scale MIMO Channels,YBlhlncAAAAJ
Shifting between compute and memory bounds: A compression-enabled roofline model,eRaZHewAAAAJ
Smart scheduling and routing for data acquisition networks,No_author_found
Summary Statistics of Large-scale Model Outputs for Observation-corrected Outputs,4St8hisAAAAJ
Summary Statistics of Large-scale Model Outputs for Observation-corrected Outputs,lefKcowAAAAJ
Synergistic Deep Learning Framework for Forecasting Power Outages,f9abrtgAAAAJ
Synergistic Deep Learning Framework for Forecasting Power Outages,leS0sXoAAAAJ
Szops: Scalar operations for error-bounded lossy compressor for scientific data,SL-9eBwAAAAJ
Szops: Scalar operations for error-bounded lossy compressor for scientific data,lv5EK6AAAAAJ
Szops: Scalar operations for error-bounded lossy compressor for scientific data,r8qwkW8AAAAJ
